id,name,unit_name,nutrient_nbr,rank,category
2032,"Cryptoxanthin, alpha",UG,335,7461.0,basic_macronutrients
2033,Total dietary fiber (AOAC 2011.25),G,293,1300.0,dietary_fibers
2034,Insoluble dietary fiber (IDF),G,293.1,1310.0,dietary_fibers
2035,Soluble dietary fiber (SDFP+SDFS),G,293.2,1320.0,dietary_fibers
2036,Soluble dietary fiber (SDFP),G,954,1324.0,dietary_fibers
2037,Soluble dietary fiber (SDFS),G,953,1326.0,dietary_fibers
2038,High Molecular Weight Dietary Fiber (HMWDF),G,293.3,1305,dietary_fibers
2039,Carbohydrates,G,956,1100.0,basic_carbohydrates
2040,Other carotenoids,UG,955,7510.0,vitamins_fat_soluble
2041,Tocopherols and tocotrienols,MG,323.99,7900.0,basic_macronutrients
2042,Amino acids,G,500,16250.0,basic_proteins
2043,Minerals,MG,300,5200.0,minerals_trace
2044,Lipids,G,950,9600.0,basic_fats
2045,Proximates,G,951,50.0,basic_macronutrients
2046,Vitamins and Other Components,G,952,6250.0,vitamins_water_soluble
2055,Total Tocopherols,MG,,7901.0,basic_macronutrients
2054,Total Tocotrienols,MG,,7902.0,vitamins_fat_soluble
2053,Stigmastadiene,MG,,15801.0,sterols
2052,Delta-7-Stigmastenol,MG,,16226.0,sterols
2049,Daidzin,MG,717,19310.0,phytochemicals
2050,Genistin,MG,718,19320.0,minerals_trace
2051,Glycitin,MG,719,19330.0,minerals_trace
2057,Ergothioneine,MG,,16255.0,bioactive_compounds
2058,Beta-glucan,G,,1327.0,dietary_fibers
2059,Vitamin D4,UG,,8730.0,vitamins_fat_soluble
2060,Ergosta-7-enol,MG,,16210.0,sterols
2061,"Ergosta-7,22-dienol",MG,,16211.0,sterols
2062,"Ergosta-5,7-dienol",MG,,16211.0,sterols
2063,Verbascose,G,,2450.0,sugars
2064,Oligosaccharides,MG,,2250.0,dietary_fibers
2065,Low Molecular Weight Dietary Fiber (LMWDF),G,293.4,1306,dietary_fibers
2068,Vitamin E,MG,959,7810,vitamins_fat_soluble
2067,Vitamin A,UG,960,7430,vitamins_fat_soluble
2069,Glutathione,MG,961,9000,bioactive_compounds
